object,band,rise_time_days,decay_time_days,t0_days,peak_mag,chi2,baseline_chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,gp_dfdt_now,gp_dfdt_next,gp_d2fdt2_now,gp_predicted_mag_1d,gp_predicted_mag_2d,gp_time_to_peak,gp_extrap_slope,gp_T_peak,gp_T_now,gp_dTdt_peak,gp_dTdt_now,gp_sigma_f,gp_peak_to_peak,gp_snr_max,gp_dfdt_max,gp_dfdt_min,gp_frac_of_peak,gp_post_var_mean,gp_post_var_max,gp_skewness,gp_kurtosis,gp_n_inflections
ZTF25aaazubi,g,6.037,13.583,12.073,17.671,1.209,275.8,7,NaN,-0.018456,-0.025697,0.087247,0.086037,-0.001210,18.989785,19.074128,-20.859491,0.082200,19733.5,7608.9,80.094,-57.622,0.893504,2.316279,463.499,0.088049,-0.056595,1.105792,0.003248,0.003248,-0.242738,-1.653230,1
ZTF25aaazubi,r,7.546,7.546,13.583,17.133,1.802,348.3,16,25.656,-0.066850,0.042822,0.046276,0.048620,0.002345,18.250620,18.300358,-32.348288,0.049626,19733.5,7608.9,80.094,-57.622,0.610922,2.274059,1104.534,0.069872,-0.166927,1.132730,0.004123,0.004123,0.168088,-0.820912,5
ZTF25aaazugo,g,6.434,11.259,12.867,17.566,0.762,679.3,12,19.301,-0.050248,-0.058663,0.070429,0.071771,0.001342,20.406692,20.478528,-35.103775,0.070460,16623.2,6684.7,-79.558,-35.704,1.105302,3.321852,904.969,0.129346,-0.158648,1.130255,0.005409,0.005409,-0.408697,-1.245765,4
ZTF25aaazugo,r,4.825,12.867,12.867,17.526,0.652,778.0,17,28.951,-0.048851,0.015985,-0.091763,-0.082105,0.009658,17.707603,17.637987,4.903817,-0.054751,16623.2,6684.7,-79.558,-35.704,0.933690,3.015824,857.966,0.106085,-0.101754,1.172081,0.004733,0.004733,0.041742,-1.368329,8
ZTF25aaazugo,i,4.825,8.042,9.650,18.184,0.018,34.0,6,NaN,0.000887,-0.026090,0.000136,-0.013815,-0.013951,19.643058,19.616630,-43.320097,-0.037284,16623.2,6684.7,-79.558,-35.704,0.416232,1.472498,311.344,0.089929,-0.059388,1.037716,0.000093,0.000093,0.247512,-0.738917,5
ZTF25aabaanf,r,25.672,29.340,161.939,18.162,1.054,29.9,68,NaN,-0.003411,-0.008303,0.009630,0.009613,-0.000018,18.303208,18.312809,-19.799314,0.009619,11035.3,5967.5,1.304,-15.757,0.785309,2.244375,790.624,0.078705,-0.033133,1.095260,0.003840,0.003840,0.877511,-0.956117,4
ZTF25aabaanf,g,36.675,25.672,154.604,19.165,0.695,2.4,29,NaN,-0.013076,0.009825,0.002868,0.003162,0.000294,19.182967,19.186419,-9.066680,0.003740,11035.3,5967.5,1.304,-15.757,0.292161,0.945478,355.263,0.011549,-0.015899,1.049334,0.008783,0.008783,0.460794,-1.052093,1
ZTF25aabebve,g,18.550,7.950,33.125,19.588,0.705,5.4,26,45.050,-0.056335,0.021917,0.009203,0.003591,-0.005612,20.526846,20.525040,-26.798230,-0.006890,5925.7,5008.8,5.292,11.703,0.376992,1.264718,205.968,0.054209,-0.061339,1.046062,0.015385,0.015385,0.207248,-1.287319,2
ZTF25aabebve,i,2.650,1.325,42.400,19.996,0.001,0.8,5,NaN,0.000004,0.002608,0.030081,0.088339,0.058258,20.358370,20.487603,11.436464,0.073062,5925.7,5008.8,5.292,11.703,0.085020,0.552996,114.298,0.125810,-0.107932,1.012316,0.000063,0.000063,0.714860,5.133669,11
ZTF25aabebve,r,15.900,11.925,35.775,20.112,0.017,2.6,14,NaN,0.001003,-0.005209,0.176456,0.256691,0.080235,20.819409,20.863037,-18.117749,-0.117116,5925.7,5008.8,5.292,11.703,0.142226,0.761114,239.857,0.226201,-0.129762,1.014916,0.000526,0.000526,0.674588,1.445949,14
