object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aabsnwc,g,Bazin,4.981,6.869,14.811,4.005,15,49.770,-0.002134,0.003272,NaN,NaN
ZTF25aabsnwc,r,Bazin,2.711,33.115,0.924,4.667,14,40.621,-0.008061,0.040079,NaN,NaN
ZTF25aabsnwc,i,Bazin,8.147,10.289,18.278,0.000,3,29.276,0.003355,0.002986,NaN,NaN
ZTF25aabsnyf,r,Full,5.859,24.636,18.153,2.621,26,133.771,-0.023349,0.044071,NaN,NaN
ZTF25aabsnyf,g,Full,2.155,66.968,15.209,1.044,18,133.771,-0.102242,0.016213,NaN,NaN
ZTF25aabsnyf,i,Full,10.758,39.141,14.001,1.605,6,95.454,0.024496,0.027730,NaN,NaN
ZTF25aabsofp,g,Bazin,33.108,7.780,1.811,83.787,14,42.243,0.115639,0.020898,NaN,NaN
ZTF25aabsofp,r,Bazin,1.005,13.060,-6.032,35.126,10,39.541,0.082536,0.075532,NaN,NaN
ZTF25aabsqgk,g,Bazin,2.826,3.929,2.096,0.051,4,1.270,0.038394,0.082052,NaN,NaN
ZTF25aabsqgk,r,Bazin,1.516,4.535,-0.950,2.800,4,2.263,0.065219,0.059652,NaN,NaN
ZTF25aabutel,r,Full,1.905,17.620,0.918,0.932,6,0.846,-0.135780,-0.000003,NaN,NaN
ZTF25aabutel,g,Full,1.520,47.896,9.038,0.034,1,9.021,-0.686470,-0.000042,NaN,NaN
ZTF25aabvekt,r,Bazin,3.026,26.275,5.614,2.664,22,42.030,-0.147378,0.040618,NaN,NaN
ZTF25aabvekt,g,Bazin,3.096,18.111,5.328,0.426,7,42.030,-0.143050,0.094928,NaN,NaN
ZTF25aabvekt,i,Bazin,1.000,21.916,3.573,0.188,5,42.030,-0.102537,0.015668,NaN,NaN
ZTF25aabvhns,g,Full,665.142,19.283,7.549,1.091,3,NaN,-0.000819,0.055497,NaN,NaN
ZTF25aabvhns,r,Full,244.692,18.045,9.588,0.695,3,NaN,-0.002251,0.057984,NaN,NaN
ZTF25aabvhns,i,Full,338.421,12.252,4.431,0.034,1,6.533,0.000052,0.087046,NaN,NaN
ZTF25aabwjuw,r,Bazin,3.185,31.929,6.911,0.587,11,49.969,-0.199449,0.043661,NaN,NaN
ZTF25aabwjuw,g,Bazin,2.006,19.327,7.967,0.179,6,49.969,-2.219500,0.086944,NaN,NaN
ZTF25aabwjuw,i,Bazin,1.015,21.901,-7.078,0.000,3,23.352,0.032245,0.012474,NaN,NaN
ZTF25aabxywm,r,Full,7.728,433.307,-3.837,6.494,27,NaN,-0.013531,0.002505,NaN,NaN
ZTF25aabxywm,g,Full,2.843,159.405,-5.000,15.844,24,NaN,0.003487,0.006811,NaN,NaN
ZTF25aabxywm,i,Full,7.793,1177.851,-1.247,0.815,5,NaN,-0.020145,0.000921,NaN,NaN
ZTF25aabylkr,r,FastDecay,NaN,55.412,74.884,20.374,9,71.126,0.018809,0.019594,NaN,NaN
ZTF25aabylkr,g,FastDecay,NaN,54.081,69.011,4.841,3,72.229,0.020634,0.020076,NaN,NaN
ZTF25aabylly,g,Bazin,3.015,33.115,4.555,0.505,4,2.560,-0.256249,-0.059908,NaN,NaN
ZTF25aabylly,r,Bazin,1.073,10.248,1.428,0.000,2,NaN,-0.233772,0.057973,NaN,NaN
ZTF25aabylly,i,Bazin,1.000,10.554,2.950,0.000,2,0.943,-0.219522,0.054872,NaN,NaN
ZTF25aabzbve,r,Bazin,3.992,22.220,9.392,1.390,17,66.911,-0.087632,0.031870,NaN,NaN
ZTF25aabzbve,g,Bazin,2.305,13.169,6.284,0.699,8,66.911,-0.075381,0.022318,NaN,NaN
ZTF25aacalpc,r,Bazin,3.814,17.594,10.921,0.212,8,6.200,-0.178721,0.056642,NaN,NaN
ZTF25aacalpc,g,Bazin,30.621,3.818,-99.974,0.634,6,NaN,0.000000,0.000000,NaN,NaN
ZTF25aacaoby,r,Bazin,4.066,20.431,10.036,0.157,13,47.039,-0.145322,0.055694,NaN,NaN
ZTF25aacaoby,g,Bazin,3.965,10.260,13.856,1.218,8,47.039,-0.094929,0.046091,NaN,NaN
ZTF25aacaoby,i,Bazin,21.626,33.115,18.721,0.460,3,NaN,0.000310,0.013106,NaN,NaN
ZTF25aacasnr,g,Bazin,3.871,5.997,14.835,0.918,8,9.304,-0.061346,0.077757,NaN,NaN
ZTF25aacasnr,r,Bazin,2.592,16.833,4.584,0.220,6,33.064,-0.131220,0.046144,NaN,NaN
ZTF25aacasop,g,Full,4.119,2.295,17.353,4.109,19,34.024,-0.146795,0.111024,NaN,NaN
ZTF25aacasop,r,Full,3.566,0.844,16.776,1.009,15,4.445,-0.177976,0.051222,NaN,NaN
ZTF25aacasop,i,Full,5.031,3.247,15.848,0.882,4,34.024,-0.102690,0.331168,NaN,NaN
ZTF25aacautg,r,Bazin,3.063,22.553,5.911,4.166,13,44.010,-0.173664,0.066480,NaN,NaN
ZTF25aacautg,g,Bazin,2.146,16.937,5.967,17.618,9,44.010,-0.278208,0.103672,NaN,NaN
ZTF25aacautg,i,Bazin,19.556,33.113,-30.675,8.214,4,NaN,0.011957,0.008512,NaN,NaN
ZTF25aacawpa,r,Bazin,4.320,33.115,6.193,0.848,33,53.898,-0.084719,0.031456,NaN,NaN
ZTF25aacawpa,g,Bazin,3.179,12.169,8.992,0.389,19,53.898,-0.102531,0.030375,NaN,NaN
ZTF25aacaxkg,g,Bazin,1.000,12.375,20.252,1.917,33,109.778,0.045290,0.001069,NaN,NaN
ZTF25aacaxkg,r,Bazin,33.115,19.873,30.000,4.522,25,88.264,0.036130,0.015688,NaN,NaN
ZTF25aacaxkg,i,Bazin,6.112,3.411,18.957,0.000,3,NaN,0.018527,0.000000,NaN,NaN
ZTF25aacaxre,r,Full,0.064,1243.289,100.000,132.051,52,NaN,0.000873,0.000873,NaN,NaN
ZTF25aacaxre,g,Full,0.130,457.380,99.511,17.769,16,NaN,0.002374,0.002374,NaN,NaN
ZTF25aacbbqh,r,FastDecay,NaN,24.903,87.077,1.157,35,10.440,0.004886,0.032744,NaN,NaN
ZTF25aacbbqh,g,FastDecay,NaN,37.648,77.077,0.734,17,26.621,0.007140,0.028839,NaN,NaN
ZTF25aacbhct,r,FastDecay,NaN,61.400,39.336,5.547,23,31.286,0.010434,0.017683,NaN,NaN
ZTF25aacbhct,g,FastDecay,NaN,22.588,29.336,12.340,8,52.739,0.015962,0.048067,NaN,NaN
ZTF25aacbsyi,r,Full,5.946,173.528,-5.000,1.960,75,NaN,-0.011250,0.006257,NaN,NaN
ZTF25aacbsyi,g,Full,2.187,128.192,-5.000,2.439,48,53.773,0.011398,0.008470,NaN,NaN
ZTF25aacbsyi,i,Full,8.198,63.837,1.391,0.202,7,32.158,-0.016767,0.017005,NaN,NaN
ZTF25aacbtmd,r,Full,7.194,1808.042,-1.439,0.366,42,NaN,-0.021105,0.000600,NaN,NaN
ZTF25aacbtmd,g,Full,2.646,665.142,-5.000,2.132,37,NaN,-0.001474,0.001632,NaN,NaN
ZTF25aacbtmd,i,Full,17.781,1808.042,1.082,0.160,3,NaN,-0.019724,0.000235,NaN,NaN
ZTF25aaccmjq,r,Full,4.288,31.638,12.640,80.161,55,123.921,-0.007572,0.034317,NaN,NaN
ZTF25aaccmjq,g,Full,2.035,15.437,5.349,261.977,35,123.921,0.010939,0.070332,NaN,NaN
ZTF25aaccmjq,i,Full,3.717,21.233,9.593,0.477,5,123.921,-0.012186,0.051135,NaN,NaN
ZTF25aacdilx,r,Full,62.114,24.396,100.000,4.585,63,10.128,-0.006068,0.034568,NaN,NaN
ZTF25aacdilx,g,Full,326.569,79.332,11.671,2.236,52,51.904,0.007631,0.012273,NaN,NaN
ZTF25aacdilx,i,Full,45.770,10.567,90.000,2.109,5,29.750,-0.010258,0.093475,NaN,NaN
ZTF25aacdjzo,r,Full,665.142,79.735,96.891,1.757,52,110.480,0.019262,0.012865,NaN,NaN
ZTF25aacdjzo,g,Full,244.692,88.853,100.000,0.929,38,88.075,0.013122,0.010460,NaN,NaN
